newgeorgia	malaita	makira	bukida	newgeorgia	malaita	makira	bukida
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	0.00108105	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	2.0e-05	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	0.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.0	-1.0	-1.0	0.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	0.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	0.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.0010958	0.00117713	0.000768216	0.00114607	238	189	33	260
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.000459833	0.000214912	0.00019663	0.00111682	87	74	28	194
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.00137845	0.000420119	0.000934869	0.00132381	260	58	127	201
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.000273245	0.000179587	4.39199e-05	0.00027963	66	48	11	102
0.00115247	0.000937475	0.000677947	0.00123535	236	62	39	198
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.000773177	0.00038008	0.000249555	0.000781084	168	56	65	170
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.00111132	0.00126669	0.000543055	0.0018045	130	91	64	230
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	0.00067	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.00129	0.000297059	0.000256279	0.000829484	103	43	41	89
0.000554786	0.000621177	0.000406363	0.00086733	124	85	69	211
0.00112713	0.000761189	0.00121389	0.00147934	137	82	155	235
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	0.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.000427487	0.000237893	0.000205832	0.000449011	59	48	52	148
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.00179601	0.000828534	0.00088622	0.00172499	116	72	31	96
0.000246643	-1.0	-1.0	0.000252372	59	-1	-1	87
-1.0	-1.0	-1.0	8.8255e-05	-1	-1	-1	-1
0.000646676	0.000610262	0.000393859	0.000774597	217	105	44	163
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.00132826	0.00100802	0.00083455	0.00150222	222	44	78	267
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.000572615	0.000781338	0.000717486	0.00158872	122	112	116	186
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.000582584	0.000249346	0.000179675	0.000509704	97	69	24	70
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.00124155	0.000812388	0.000542181	0.00147774	139	65	85	211
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.000478782	0.000476828	0.000274832	0.000645323	78	87	58	117
0.000594404	0.000598088	0.000386143	0.000791601	135	68	77	104
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
9.91895e-05	-1.0	-1.0	6.14822e-05	38	-1	-1	27
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.00036011	-1.0	-1.0	0.000538831	293	-1	-1	59
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.000937135	0.000810587	0.00076833	0.00100164	201	67	73	151
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.00148404	0.000390254	0.000899323	0.00151843	170	60	176	110
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
