newgeorgia	malaita	makira	bukida
0.0	0.0	2.0	-100.0
0.0	0.0	2.0	-100.0
-100.0	-18.9655	2.0	-2.54386
-100.0	0.241379	1.96429	-22.0857
-100.0	0.0	1.36842	1.0
0.0	0.0	2.0	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	1.89474	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.0	2.0	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.0	-100.0
-100.0	0.0	0.666667	1.0
-1.63934	0.571429	0.0	-100.0
-100.0	0.0350877	0.0	-4.50909
0.0	0.784946	-16.963	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.59375	0.754717	1.0
0.0	0.0	1.15942	-100.0
-100.0	-48.8372	0.0769231	1.0
0.0	0.0	0.0	-100.0
0.0	0.0	-24.9688	-100.0
1.93103	0.0	2.0	-100.0
-100.0	0.0	0.0206186	-100.0
0.0	0.0	1.07692	-100.0
-100.0	1.0	0.0	-100.0
0.0	0.0	2.0	-100.0
0.021978	0.0	0.807018	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.0	0.666667	-100.0
0.0	0.0	1.90244	-100.0
-1.07527	0.0	0.777778	-100.0
-1.88679	0.0	1.96429	-100.0
-100.0	-41.0714	2.0	-100.0
0.0	-57.4074	0.0	-100.0
0.0	0.0	2.0	-100.0
0.0	1.0	2.0	-100.0
-100.0	0.0	0.0	1.0
0.0	0.0	1.97872	-100.0
-100.0	0.0	2.0	-100.0
0.0	0.0465116	0.0	-100.0
0.0	0.0	0.0689655	-100.0
-100.0	0.0	0.0	1.0
-100.0	0.0	1.72881	-0.294872
-100.0	0.0	1.96552	-0.741379
-100.0	0.0	2.0	-100.0
0.0	0.0	0.333333	-100.0
0.0	0.421053	1.37143	-100.0
-100.0	0.0196078	-7.34545	-22.8472
0.0	0.0	2.0	-100.0
0.0	0.54717	2.0	-100.0
0.0	-53.6463	0.0325203	-100.0
0.0	0.0	1.23077	-100.0
-100.0	0.0178571	1.19298	1.0
0.0	0.0	0.0	-100.0
-100.0	0.0	1.91398	-0.942308
0.0	0.0	0.72973	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.0	1.16129	1.0
0.0	0.0	1.96078	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	1.4	-100.0
-100.0	-1.33333	0.0	1.0
-100.0	0.0	2.0	-32.0192
-81.0345	-40.2439	1.1746	-100.0
-100.0	0.33871	1.00855	-100.0
0.0	0.0	0.0	-100.0
-1.85185	0.0	1.55172	-100.0
0.0	0.0	2.0	-100.0
