newgeorgia	malaita	makira	bukida
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	1.10345	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	1.88889	-100.0
0.0	0.0	0.0	0.0
-100.0	0.0	0.745098	1.0
0.0	0.0	0.105263	-100.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	-100.0
-100.0	-98.8372	2.0	1.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.470588	-100.0
-100.0	0.0	0.982456	1.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.0	-100.0
-100.0	0.0	0.0	1.0
0.0	0.0172414	0.825	-100.0
-100.0	0.0	2.0	1.0
-100.0	0.0	0.588235	-0.87037
0.0	0.0	0.430769	-100.0
-53.6585	0.0	0.0	-100.0
-100.0	0.0	2.0	1.0
0.0	0.0	2.0	-100.0
-100.0	0.0	1.43713	-18.8224
-100.0	0.0	0.0	-100.0
-20.0	0.0	0.885246	-100.0
-70.4918	0.0	0.0	-100.0
-100.0	0.0	0.0	-100.0
-100.0	0.0	1.97468	-22.9661
0.0	0.0	1.25	-100.0
-100.0	0.0	0.0	-0.942308
-100.0	0.0	0.0	-88.7778
0.0	0.0	0.0	-100.0
-100.0	0.0	0.440678	-1.69333
0.0	0.0	1.7931	-100.0
0.0	0.0	0.0	0.0
0.0	0.0	1.68571	-100.0
0.0	0.0	1.03704	-100.0
0.0	0.0	0.115385	-100.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	1.06849	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	0.0	0.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.0	0.0
0.0	0.0	0.54321	-100.0
0.0	0.0	1.32203	-100.0
0.0	-62.6667	2.0	-100.0
-100.0	0.0	2.0	-100.0
0.0	0.0	2.0	-100.0
0.0	1.0	0.85	-100.0
-100.0	0.0	0.769231	-100.0
-71.25	0.549296	0.0	-100.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
-100.0	0.6	2.0	1.0
-100.0	0.0	0.0	1.0
-100.0	0.0	0.533333	1.0
0.0	0.0	0.0	0.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.0	0.0
0.0	0.0	2.0	-100.0
0.0	0.472973	0.0	-100.0
0.0	1.43478	0.0	-100.0
-100.0	0.0	2.0	1.0
-100.0	0.0	0.0	-1.65789
0.0	0.0	0.0	0.0
0.0	0.0	0.0	-100.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	-100.0
0.0	0.0	0.0	0.0
0.0	0.0153846	1.10345	-100.0
0.0	0.0	1.09091	-100.0
-59.2	2.97414	-100.0	3.0
-100.0	0.0	0.0	1.0
0.0	0.0	0.721311	-100.0
0.0	0.0	0.0	0.0
0.0	0.0123457	2.0	-100.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
-57.1429	0.0	0.0	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	-100.0
-1.38889	0.0307692	0.925373	-100.0
-100.0	0.0	2.0	-11.1687
0.0	0.0	0.0	0.0
0.0	0.0	0.0	-100.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0754717	-100.0
-1.96078	0.0	0.0	-100.0
-1.33333	0.0	2.0	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.0	0.0
-100.0	0.0	2.0	-2.42373
0.0	0.0	0.0	-100.0
0.0	0.0	0.0	0.0
0.0	0.0	2.0	-100.0
0.0	-100.0	0.0384615	-100.0
0.0	0.0	0.885246	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.0	2.0	1.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	2.0	-100.0
-100.0	0.0	0.0	-0.0978261
0.0	0.0	0.0	0.0
0.0	0.0	0.0	-100.0
-26.2626	0.0	2.0	-100.0
0.0	0.0	1.14815	-100.0
-100.0	0.0	2.0	1.0
0.0	0.0	2.0	-100.0
-100.0	0.0	0.305556	-6.08772
-1.49254	0.0	2.0	-100.0
-100.0	0.0	2.0	-0.442857
0.0	0.0	0.0	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.0	2.0	1.0
0.0	0.688889	2.0	-100.0
0.0	0.0	0.0	0.0
-100.0	0.566265	2.0	1.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.0	0.0
-100.0	0.0	1.62791	-13.6377
0.0	0.0	0.0	0.0
0.0	-1.66667	0.0	-100.0
0.0	0.0	1.97059	-100.0
-100.0	0.0	1.96667	1.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
-100.0	0.0	0.0350877	1.0
-100.0	0.0	2.0	-17.7907
0.0	0.0	0.0	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	1.92593	-100.0
0.0	0.0754717	2.0	-100.0
0.0	0.0	1.3	-100.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	1.98131	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	0.0285714	-100.0
-1.47059	0.0	0.057971	-100.0
0.0	0.0	0.0	0.0
0.0	0.0	2.0	-100.0
-100.0	-100.0	2.0	1.0
-100.0	0.490385	2.0	-33.8909
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	-100.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
-1.92308	0.0	1.70968	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.0	0.0	1.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	0.0	0.0
-100.0	0.0	0.0	1.0
0.0	0.0	0.0	0.0
-100.0	0.0	0.542373	-1.92754
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	2.0	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.0	0.0
0.0	0.0	0.964286	-100.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
-100.0	0.0	0.0384615	-32.1406
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
-100.0	0.0	2.0	-5.4127
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	1.97059	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.0	0.0
-100.0	0.0	0.0	-100.0
0.0	0.0	0.773333	-100.0
0.0	0.37037	2.0	-100.0
0.0	0.0	0.0	-100.0
-100.0	0.0	0.807692	-1.55696
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
-100.0	0.0	2.0	-39.0517
0.0	0.0	0.0	0.0
-100.0	0.0	2.0	-2.81132
0.0	0.0125	2.0	-100.0
0.0	0.0	0.0	0.0
0.0	0.0	2.0	-100.0
0.0	-92.4528	0.222222	-100.0
0.0	0.0	0.0	-100.0
0.0	-49.3333	2.0	-100.0
-100.0	0.135802	0.025	-76.6923
0.0	0.0	2.0	-100.0
-100.0	0.0	0.835443	-23.6026
0.0	0.0	1.26761	-100.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.0	-100.0
-100.0	0.0	0.973684	-0.629032
0.0	0.0	0.0	0.0
0.0	0.0	1.60563	-100.0
0.0	0.0	0.0	0.0
0.0	0.0	2.0	-100.0
-100.0	0.0	0.884615	-25.6792
0.0	0.0	0.0	0.0
0.0	0.0	1.96491	-100.0
0.0	0.0120482	0.955224	-100.0
0.0	0.0	0.457143	-100.0
0.0	0.0	0.0677966	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	0.0	0.0
-1.26582	0.0	1.96154	-100.0
-100.0	0.0	0.0	1.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.0	0.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	0.350877	-100.0
-100.0	0.0	2.0	1.0
-100.0	0.0	2.0	-31.6308
