newgeorgia	malaita	makira	bukida	newgeorgia	malaita	makira	bukida
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.000227012	-1.0	-1.0	0.000664203	40	-1	-1	41
0.000675461	0.000280756	0.00019391	0.000601556	172	77	27	297
0.00013902	-1.0	-1.0	0.000267044	19	-1	-1	69
0.00113976	0.000888224	0.000822923	0.00111735	201	27	53	162
0.000950025	0.000745104	0.000561974	0.00122387	145	70	63	181
0.000838266	0.000353005	0.000572558	0.00110414	181	41	37	385
0.00133389	0.000899009	0.000939479	0.00152616	176	58	87	192
0.00119872	0.00065571	0.000581014	0.00102652	392	68	103	137
0.00162413	0.00125219	0.000619335	0.0015691	187	77	60	291
0.00162426	0.000704509	0.0010564	0.00168648	154	96	59	192
0.00162538	0.00155196	0.000407369	0.00179992	209	121	16	228
0.00149899	0.00118094	0.000354649	0.00135626	394	24	35	210
0.00134553	0.00123501	0.00101477	0.00172924	156	88	47	243
0.00152294	0.00151985	0.000993217	0.00174874	96	71	154	204
0.00164021	0.000428353	0.0014622	0.00164228	117	65	45	152
0.00119667	0.000875274	0.000838742	0.00116782	177	71	176	137
0.0006941	0.000513383	0.000611155	0.000776087	226	80	114	137
0.00176165	0.00145558	0.00101117	0.00170787	369	169	115	120
0.00151148	0.00135295	0.000669487	0.00170849	142	72	20	67
0.00133808	0.00181362	0.000967775	0.00201455	98	228	32	347
0.00106714	0.000998242	0.00108144	0.00143866	126	135	100	173
0.00156379	0.00144516	0.00088911	0.00164753	141	60	102	254
0.00161671	0.000980204	0.00039104	0.00125785	244	135	38	122
0.0012913	0.00130032	0.0010569	0.00160879	162	94	55	151
0.00184398	0.000843246	0.00111077	0.00205781	233	116	113	336
0.00162559	0.00124536	0.0011622	0.00186147	130	67	45	497
0.00100637	0.0011681	0.000456455	0.00124491	130	161	53	63
0.00137501	0.00114563	0.00143643	0.00145385	108	68	197	179
0.00104431	0.000900663	0.00105867	0.00141106	64	37	70	104
0.000930243	0.000886204	0.000640557	0.000981325	85	95	98	150
