newgeorgia	malaita	makira	bukida	newgeorgia	malaita	makira	bukida
0.00177424	0.00129898	0.00109528	0.00176741	376	83	124	203
0.00147221	0.00167866	0.00102275	0.00182876	154	263	57	282
0.00187012	0.000852907	0.00148391	0.00173245	289	51	107	141
0.00161996	0.00130376	0.00184471	0.00133037	236	49	18	65
0.00174075	0.00134718	0.000287037	0.0017088	221	152	38	222
0.00176274	0.00138235	0.000946345	0.00188624	94	49	46	214
0.00181798	0.00135773	0.000676693	0.00189029	247	128	95	207
0.00152715	0.00142634	0.000383319	0.00166847	151	104	41	178
0.00135099	0.00145035	0.00106328	0.00171522	210	54	166	156
0.0015493	0.00145455	0.00135231	0.00169475	200	29	46	341
0.00164487	0.00140053	0.000692874	0.00171975	287	125	62	104
0.00183897	0.00128191	0.000940456	0.00176897	85	62	129	196
0.00182304	0.00103655	0.00115568	0.00161904	269	89	168	184
0.00160606	0.00103845	0.000832499	0.00131933	113	33	75	182
0.00170517	0.0010375	0.00142758	0.00173233	301	48	43	166
0.001669	0.000540688	0.00114653	0.00184538	200	50	36	181
0.00147439	0.0014323	0.00103879	0.00169978	78	75	88	206
0.00169784	0.00125695	0.001287	0.00173727	116	53	49	144
0.00151184	0.00083123	0.00090088	0.00141672	277	55	84	136
0.00160894	0.00105722	0.000869246	0.00172017	196	73	131	297
0.00172389	0.00132782	0.00144671	0.00183527	162	72	100	248
0.00138952	0.00134708	0.00128434	0.00172587	191	125	210	330
0.00173328	0.00144261	0.000727996	0.00178493	164	56	44	115
0.000884358	0.000813047	0.000350671	0.00102863	142	19	15	137
0.00166287	0.00133548	0.000758895	0.00172291	214	88	64	201
0.00184744	0.00121016	0.00106604	0.00187001	111	47	57	121
0.00175473	0.000941484	0.000800725	0.00186811	151	104	86	160
0.00186956	0.00178669	0.00148844	0.00179018	92	199	53	173
0.00175204	0.00151043	0.00123128	0.00172859	257	88	23	100
0.00154023	0.00124476	0.00082008	0.00159795	343	69	10	158
0.00125783	0.00100669	0.000551071	0.00157054	86	58	172	177
0.00158473	0.00165408	0.00117464	0.00176022	137	74	41	112
0.00185576	0.00146826	0.00156841	0.00184948	54	93	124	311
0.00171791	0.00139588	0.00121045	0.00173846	101	129	47	197
0.00156262	0.00159352	0.00116522	0.00172661	316	89	25	298
0.00171547	0.00156736	0.00168463	0.00180022	70	39	156	217
0.00173474	0.00100452	0.00105613	0.00168246	214	37	99	185
0.00133772	0.000915975	0.00125395	0.00137493	120	64	159	126
0.00160043	0.00103738	0.000292909	0.00159848	154	71	34	224
0.000990515	0.00110318	0.0012692	0.00190346	134	105	96	191
0.0013699	0.00134225	0.000532331	0.00138548	230	128	52	87
0.00172558	0.0015765	0.00137259	0.00192045	155	110	39	238
0.00152697	0.000914114	0.000598222	0.00187906	198	90	72	290
0.00182555	0.00143465	0.00157343	0.00162291	313	55	111	104
0.00161932	0.00143833	0.000862435	0.00169669	165	60	56	210
0.00122865	0.00179034	0.00134746	0.00170163	207	114	86	134
0.00184137	0.00153157	0.00104495	0.00183328	170	88	47	210
0.00194546	0.00131955	0.0011444	0.00195598	186	74	47	331
0.00168805	0.00180093	0.00039391	0.00190033	135	52	48	329
0.00175958	0.00105571	0.000697504	0.00164477	176	153	78	91
0.0019486	0.00145317	0.00126672	0.00194767	344	114	77	174
0.00172074	0.00134328	0.000627156	0.00193741	145	157	85	176
0.00144895	0.00138486	0.00110251	0.00171282	167	73	128	193
0.00171207	0.000997824	0.00131392	0.00181181	199	95	124	256
0.00123743	0.00165699	0.00097107	0.00164715	79	79	42	144
0.00106568	0.00118026	0.000931005	0.00130181	70	90	31	139
0.00178844	0.0017536	0.00142726	0.00187989	245	106	44	190
0.00145641	0.00152771	0.00121503	0.00167454	90	17	64	126
0.00128802	0.00175079	0.00141896	0.00153936	89	109	128	116
0.00151039	0.00144796	0.000662172	0.00172585	126	89	24	217
0.00163242	0.00116886	0.000458793	0.00185043	39	54	156	164
0.00189489	0.00134338	0.00159006	0.00182397	121	53	88	85
0.00182036	0.00116835	0.00150998	0.00190478	145	38	215	89
0.00163307	0.00163324	0.00110712	0.00193317	141	37	81	203
0.0013575	0.00137278	0.000373833	0.00194141	196	60	43	117
0.00129609	0.000960815	0.00125145	0.00155669	107	68	123	204
0.00130877	0.0013323	0.000251326	0.00163152	234	75	63	185
0.00172438	0.000925235	0.00126476	0.00166841	268	48	69	202
0.00138196	0.00117676	0.000995683	0.00144638	144	76	36	173
0.00156495	0.000349078	0.00101668	0.00194514	157	71	117	253
0.00184648	0.0017592	0.00140799	0.00182264	233	150	85	117
0.00154148	0.00164691	0.0014698	0.00197299	181	115	129	144
