newgeorgia	malaita	makira	bukida
0.0	0.0	0.0	0.0
-100.0	0.0	0.0	1.0
-100.0	0.0	0.0	1.0
0.0	0.0	0.0	-100.0
0.0	1.0	2.0	-100.0
0.0	0.0	1.96491	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.352941	-100.0
0.0	0.0	2.0	-100.0
0.0	-54.321	0.0	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.149425	0.181818	1.0
0.0	0.0	2.0	-100.0
-100.0	0.0	2.0	1.0
0.0	0.0	1.5	-100.0
0.0	0.0	0.727273	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.0	2.0	1.0
-100.0	-1.35135	2.0	-100.0
0.0	0.0	0.677966	-100.0
0.0	0.0	1.9403	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	0.0	-100.0
-100.0	0.0	2.0	0.678571
-100.0	0.0	2.0	-0.836364
-100.0	0.0	0.47619	-0.174419
0.0	0.0	1.41333	-100.0
0.0	0.622222	2.0	-100.0
0.0	0.0	0.666667	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.0	-100.0
-100.0	0.0	0.0	1.0
0.0	0.0	0.0333333	-100.0
0.0	0.0	0.3	-100.0
-100.0	0.0	0.0	-16.7685
0.0	0.0	0.0	-100.0
0.0	0.537037	2.0	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.507937	-100.0
0.0	0.0	0.0	-100.0
-100.0	0.563636	2.0	-20.2632
0.0	0.213115	1.62963	-100.0
-100.0	0.0	2.0	1.0
0.0	0.0	1.7	-100.0
-100.0	0.0	0.419355	-4.05
-100.0	0.0	1.62963	1.0
-100.0	0.0	0.852459	-0.442857
-100.0	0.0	2.0	1.0
-100.0	0.0	2.0	1.0
0.0	0.0	0.0	-100.0
-1.6129	0.514286	0.0	-100.0
0.0	0.0	0.0240964	-100.0
-100.0	-78.1818	1.03846	-100.0
-100.0	0.121212	0.0	1.0
0.0	0.0	1.93333	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	0.941176	-100.0
0.0	0.125	0.0273973	-100.0
0.0	0.0	-44.8475	-100.0
-100.0	0.0	2.0	-23.9663
-100.0	0.0	2.0	-22.5205
0.0	0.016129	0.0	-100.0
0.0	0.0	0.0	0.0
-100.0	0.0	2.0	-55.3721
-100.0	0.0	0.0	1.0
0.0	0.0549451	0.0	-100.0
-100.0	0.0	0.0	-0.87037
-1.17647	0.0	0.470588	-100.0
-96.875	0.0	2.0	-100.0
0.0	0.0	0.0	-100.0
-100.0	0.0	0.492308	1.0
-8.62069	0.0	0.0	-100.0
-100.0	0.0	1.25	1.0
-100.0	0.0	0.0	1.0
-100.0	0.0	0.0	-100.0
-100.0	0.0	2.0	-13.6909
0.0	0.857143	2.0	-100.0
-100.0	0.0	1.96078	-0.507463
0.0	0.0	0.0	-100.0
-100.0	0.0	2.0	-26.1923
-100.0	0.0	1.93651	1.0
0.0	0.0	0.43038	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.618182	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.0	0.0	-11.625
0.0	0.0	0.0	0.0
0.0	0.0	1.08642	-100.0
0.0	0.0	-75.8065	-100.0
0.0	1.0	-14.1053	-100.0
-23.0769	0.0	0.0	-100.0
0.0	0.0	2.0	-100.0
-1.66667	0.492063	2.0	-100.0
-98.5294	-0.485294	2.0	-100.0
0.0	0.0	1.96226	-100.0
-100.0	0.0	0.0	0.0
0.0	0.438596	1.97368	-100.0
-100.0	0.0	0.0338983	-0.741379
-54.5455	1.0	2.0	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.0253165	-100.0
0.0	0.0	1.45946	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	1.96296	-100.0
-100.0	0.0	0.0	1.0
-100.0	0.0	2.0	1.0
-100.0	0.418367	1.79747	1.0
0.0	0.0	0.0	-100.0
0.0	0.0	0.0	-100.0
-100.0	0.0	2.0	1.0
0.0	0.0	0.0	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	-1.5873	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.745763	2.0	-0.422535
0.0	-20.9677	2.0	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.0	2.0	1.0
0.0	0.990385	0.610169	-100.0
-100.0	0.0	2.0	-0.90566
-100.0	0.0	0.0	1.0
-100.0	0.5	0.0	1.0
0.0	0.0	0.0	-100.0
0.0	0.0	0.984615	-100.0
-100.0	0.0	2.0	-0.836364
-100.0	0.0	0.0	1.0
0.0	0.0	0.592593	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.0	-100.0
-100.0	0.615385	1.97917	-0.311688
0.0	0.0	0.0	-100.0
0.0	1.0	2.0	-100.0
0.0	0.0	1.51429	-100.0
0.0	0.0	1.38824	-100.0
-42.1875	0.0	0.909091	-100.0
0.0	0.0	1.81481	-100.0
0.0	0.0	1.46237	-100.0
-100.0	0.0	0.285714	1.0
-100.0	0.0	1.76667	-31.0635
-100.0	0.0	0.870968	1.0
-100.0	0.0	0.0	1.0
-100.0	0.0	2.0	1.0
-100.0	0.0	0.0350877	1.0
0.0	0.0	2.0	-100.0
-100.0	0.0	0.0	1.0
-100.0	0.981818	0.928571	1.0
0.0	0.0	1.48649	-100.0
0.0	0.0	0.0	-100.0
-100.0	0.0	2.0	1.0
0.0	0.0	2.0	-100.0
-100.0	0.555556	0.0	1.0
-1.23457	0.0	0.0	-100.0
-100.0	0.265625	0.608696	1.0
-100.0	0.0	0.03125	-72.012
0.0	0.0694444	2.0	-100.0
-100.0	0.0	0.0	-11.625
0.0	-37.931	0.0	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	0.0	0.0
0.0	-19.7368	0.529412	-100.0
-100.0	0.0	2.0	1.0
-100.0	0.0	2.0	1.0
-100.0	0.0	1.19444	-67.2432
0.0	0.0119048	0.712329	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.717949	-100.0
0.0	0.0	1.03333	-100.0
-100.0	0.0	1.97917	1.0
-100.0	0.0	2.0	1.0
0.0	0.0	1.28571	-100.0
0.0	0.392157	2.0	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.0	-100.0
0.0	2.88608	0.0	-100.0
0.0	0.0	1.97531	-100.0
-100.0	0.0	0.241379	-0.507463
0.0	0.0	1.52174	-100.0
0.0	0.0	2.0	-100.0
0.0	0.484848	1.97059	-100.0
0.0	0.0	1.23077	-100.0
0.0	0.0	0.342105	-100.0
-100.0	0.0	2.0	-100.0
-1.63934	0.0078125	0.0	-100.0
0.0	0.0	0.0	-100.0
-100.0	0.0	0.0	-1.525
-100.0	0.0	1.33333	-28.2368
0.0	0.0220588	0.0	-100.0
0.0	0.0	0.0	-100.0
0.0	0.923077	0.488372	-100.0
-100.0	-10.5088	2.0	1.0
0.0	0.0	0.0	-100.0
-100.0	0.0	0.0	-52.1579
-100.0	0.0	0.615385	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.0	2.0	-37.7167
-100.0	0.0	2.0	-12.931
0.0	-92.0635	0.216216	-100.0
-100.0	0.0	0.923077	-54.7241
-100.0	0.0	0.0	-100.0
-100.0	0.0	2.0	-3.26761
-100.0	0.0	0.891304	1.0
0.0	0.0	0.0	-100.0
0.0	0.0	1.90769	-100.0
0.0	0.0	0.037037	-100.0
0.0	-86.6667	1.36986	-100.0
-100.0	0.0	-59.6154	1.0
-100.0	0.0	0.392857	-0.485294
-55.7692	0.0	2.0	-100.0
0.0	-25.6098	1.97143	-100.0
0.0	0.0	0.892308	-100.0
0.0	0.0	0.0	0.0
0.0	0.0136986	2.0	-100.0
0.0	0.0	0.0	0.0
0.0	0.0	1.9	-100.0
0.0	0.919355	2.0	-100.0
-100.0	0.0	2.0	-25.1852
0.0	0.0	1.76119	-100.0
0.0	-8.47458	1.23529	-100.0
-100.0	0.0	0.0	-0.402778
-100.0	0.0	2.0	-21.4444
0.0	0.0147059	2.0	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.0	1.90625	1.0
0.0	0.0	1.89333	-100.0
0.0	0.0	2.0	-100.0
0.0	0.519231	2.0	-100.0
-100.0	0.0	1.05556	-0.0520833
-100.0	0.0	2.0	1.0
0.0	0.0	0.87234	-100.0
0.0	0.0	1.29825	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.0	2.0	-0.294872
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
-100.0	0.957746	2.0	1.0
-100.0	-40.4762	1.675	1.0
0.0	0.0	0.0	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.369231	0.0	1.0
0.0	0.0	2.0	-100.0
-100.0	0.0	-0.741935	-96.1154
0.0	0.0	0.0	-100.0
0.0	0.0	1.24528	-100.0
0.0	-55.9322	0.0	-100.0
-100.0	0.0	0.0	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.0	-1.04	-0.942308
-100.0	0.0	1.31343	-100.0
-100.0	0.0	2.0	1.0
-100.0	0.0	2.0	1.0
0.0	0.0	0.0357143	-100.0
-100.0	0.0	0.464286	-100.0
-100.0	0.0	1.34483	-100.0
0.0	0.0	0.135135	-100.0
-100.0	0.0	0.301887	1.0
0.0	0.0	0.0	-100.0
0.0	0.0	1.15152	-100.0
-100.0	0.0	0.0	-24.8372
-100.0	0.0	2.0	1.0
0.0	0.0	0.83871	-100.0
-1.28205	0.0	2.0	-100.0
0.0	0.0	1.35849	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.690909	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.0	2.0	-100.0
-100.0	0.0	1.83099	1.0
0.0	0.0	1.97849	-100.0
0.0	0.0	1.65517	-100.0
-100.0	0.0	0.0	1.0
0.0	0.0	1.96296	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	0.955224	-100.0
0.0	0.0	0.0	0.0
0.0	0.0	0.031746	-100.0
-10.1695	0.0	0.0	-100.0
-100.0	0.0	2.0	-40.4359
0.0	0.0	0.885246	-100.0
0.0	0.0	0.9	-100.0
0.0	0.0	1.0	-100.0
0.0	0.304762	1.68627	-100.0
-100.0	0.0	1.36842	1.0
0.0	0.160494	2.0	-100.0
-100.0	0.0	0.0285714	-12.716
0.0	0.0	0.474576	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	0.0384615	-100.0
0.0	0.0	0.0	-100.0
-1.21951	0.0181818	0.0727273	-100.0
-1.81818	0.0	0.0	-100.0
0.0	0.0	0.0	-100.0
-33.871	0.0	0.0	-100.0
-100.0	0.0	0.0	1.0
-100.0	0.0	2.0	-100.0
0.0	-39.6947	0.931034	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	0.275	-100.0
-1.51515	0.0	1.96296	-100.0
-100.0	0.0	2.0	1.0
-100.0	0.0	2.0	-0.980392
0.0	-100.0	0.321429	-100.0
-100.0	0.0	1.56364	1.0
-100.0	0.0	0.384615	-0.836364
0.0	0.0	0.0	0.0
0.0	0.0	-15.3846	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	1.63934	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	1.38983	-100.0
-100.0	0.0	2.0	-98.5972
-100.0	0.0	2.0	1.0
0.0	0.0	2.0	-100.0
0.0	-1.5873	1.97674	-100.0
0.0	0.925373	2.0	-100.0
-12.963	0.776596	0.0	-100.0
-100.0	0.0	2.0	-100.0
-72.0588	0.0	2.0	-100.0
-1.96078	0.0	2.0	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	-100.0	-100.0
-100.0	0.0178571	1.9661	-0.346667
0.0	0.0	2.0	-100.0
0.0	0.849057	0.0	-100.0
-100.0	0.0	0.291667	-0.422535
0.0	0.0	1.25	-100.0
-100.0	-54.5455	2.0	1.0
0.0	0.0	2.0	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.0196078	0.0	-0.741379
0.0	0.0	1.57377	-100.0
-100.0	0.0	0.0	-28.9259
-100.0	0.0	2.0	-96.5172
0.0	0.0	0.0	-100.0
-5.26316	0.0	0.0	-100.0
-100.0	0.0	2.0	-36.3562
0.0	0.192308	0.0	-100.0
-100.0	0.0	0.342105	-30.949
0.0	0.0	1.23529	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	2.0	-100.0
0.0	0.423729	0.805556	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	1.91429	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	2.0	-100.0
-1.6129	0.0	2.0	-100.0
0.0	-1.78571	0.117647	-100.0
0.0	0.0485437	-98.381	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.015625	0.0	-2.01493
0.0	0.0	0.716418	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.0	0.0	-100.0
-100.0	0.0	0.0	1.0
0.0	0.0	0.0	-100.0
-100.0	0.607843	0.0	1.0
-100.0	0.0	0.0	1.0
-100.0	1.21429	0.0	-100.0
-100.0	0.0	2.0	-2.74074
-100.0	0.0	2.0	1.0
0.0	0.0	0.518519	-100.0
0.0	0.0	0.0	0.0
0.0	0.0	1.55172	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.0126582	2.0	-0.616
-100.0	0.0	2.0	-100.0
-100.0	0.0	0.906977	-0.463768
-1.44928	0.367347	0.0	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.0	0.252874	1.0
0.0	0.0	0.0	-100.0
0.0	0.0	2.0	-100.0
-3.77358	0.0	0.0	-100.0
0.0	0.0	0.0	-100.0
-100.0	0.0	0.0	1.0
-100.0	0.0	2.0	1.0
0.0	0.0	2.0	-100.0
-100.0	0.0	0.619718	1.0
-37.5	0.0106383	0.759259	-100.0
-100.0	0.0	2.0	1.0
-100.0	0.0	2.0	1.0
0.0	0.0	0.377358	-100.0
-100.0	0.0	0.0	-2.15625
0.0	0.0	0.0	-100.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	-100.0
0.0	0.0	0.857143	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.0	0.0	1.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	-100.0
0.0	0.0	0.0	0.0
-100.0	0.0	2.0	1.0
0.0	0.0	0.0	-100.0
0.0	0.0	0.205882	-100.0
0.0	0.857143	2.0	-100.0
0.0	0.0	0.107143	-100.0
-43.617	0.0	0.0	-100.0
-100.0	0.0	0.0727273	-100.0
0.0	0.0	0.372881	-100.0
0.0	1.43284	-100.0	1.66234
0.0	0.0	1.96154	-100.0
0.0	0.645833	0.166667	-100.0
-100.0	0.0	1.97436	1.0
-72.549	0.0	2.0	-100.0
-100.0	0.0588235	2.0	1.0
0.0	0.0	1.97753	-100.0
-100.0	0.0	2.0	-30.0769
-100.0	0.0	2.0	-0.294872
-100.0	0.337838	2.0	-0.942308
-100.0	0.0175439	0.0	1.0
0.0	0.0	0.0	-100.0
0.0	-79.5676	2.0	-100.0
0.0	0.705128	2.0	-100.0
0.0	0.15942	0.0	-100.0
-63.4921	0.0	0.0	-100.0
-100.0	0.0	2.0	-0.711864
-100.0	-100.0	0.883117	1.0
0.0	-72.2892	0.109091	-100.0
0.0	0.0	2.0	-100.0
