newgeorgia	malaita	makira	bukida
0.0	0.8	0.57971	-100.0
-100.0	0.0	2.0	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0163934	1.2	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	0.0	-100.0
-92.1053	0.0	2.0	-100.0
-1.6129	0.0	0.52459	-100.0
0.0	0.0	1.42857	-100.0
-1.5625	0.0	2.0	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.0	0.0	-100.0
-36.5385	0.0	0.0	-100.0
0.0	0.0	0.0377358	-100.0
0.0	0.0	1.34286	-100.0
0.0	0.0	0.75	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.135593	-100.0
-100.0	0.0	2.0	1.0
-100.0	0.894737	0.0	-23.5286
0.0	0.985075	0.779661	-100.0
0.0	0.0	1.09333	-100.0
-23.7288	0.0	1.72727	-100.0
0.0	0.0	1.05	-100.0
-100.0	0.0	0.0	1.0
0.0	0.0	0.0	-100.0
-100.0	0.0	0.892857	-15.2321
0.0	0.0	2.0	-100.0
-100.0	0.0	2.0	-0.603175
0.0	0.0	0.0	-100.0
0.0	0.0	0.784314	-100.0
0.0	0.0793651	2.0	-100.0
-100.0	0.0	1.09434	-7.14516
-100.0	-13.8462	1.92727	-44.2759
-100.0	0.0	2.0	-100.0
0.0	-56.8627	0.0	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	1.21053	-100.0
-100.0	-1.30263	2.0	-0.0631579
-100.0	0.0	2.0	0.00980392
-1.21951	0.0	1.89831	-100.0
-100.0	0.0	1.4717	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	1.96923	-100.0
0.0	0.0	1.07246	-100.0
0.0	0.0	0.0	-100.0
0.0	0.54878	0.0	-100.0
0.0	-100.0	2.0	-100.0
0.0	0.135593	0.0294118	-100.0
-100.0	0.0	0.0	-35.5942
-100.0	0.0	0.0	-100.0
-95.2381	0.0	2.0	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.0	-100.0
-100.0	0.0	0.481481	1.0
0.0	0.0	-100.0	3.0
0.0	0.0	2.0	-100.0
-100.0	0.0	0.037037	1.0
-100.0	0.0	0.172043	-0.402778
0.0	0.0	0.0	-100.0
-100.0	0.0	0.356164	-15.2529
-100.0	0.0	2.0	1.0
-1.69492	0.0	2.0	-100.0
0.0	0.0	1.55556	-100.0
-100.0	0.0	2.0	1.0
-100.0	0.878378	2.0	-100.0
-100.0	0.0	0.0	1.0
0.0	0.0	2.0	-100.0
-100.0	0.509804	0.0363636	1.0
0.0	0.0	1.79661	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	1.8	-100.0
0.0	0.479452	2.0	-100.0
-100.0	0.0	0.117647	-100.0
-91.2281	0.0	2.0	-100.0
0.0	0.833333	0.131148	-100.0
-100.0	0.0	0.0	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	1.96364	-100.0
0.0	0.0	1.53846	-100.0
-1.47059	0.0	2.0	-100.0
-100.0	0.0	0.0	1.0
0.0	0.0	2.0	-100.0
-100.0	0.0	0.879121	1.0
-100.0	0.0	1.44444	-100.0
0.0	0.0	0.8	-100.0
-100.0	0.0	2.0	-1.65789
0.0	0.0	1.44444	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.0	-100.0
-100.0	0.0	1.2037	-13.4286
-100.0	0.012987	0.0	1.0
-100.0	0.0	2.0	-0.942308
-100.0	-1.02041	1.21311	1.0
-100.0	0.0	2.0	1.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.5	-100.0
-100.0	0.0	1.46429	1.0
0.0	0.0	0.45	-100.0
0.0	1.0	2.0	-100.0
0.0	0.0	0.596491	-100.0
-100.0	1.0	2.0	-2.25806
0.0	0.0	2.0	-100.0
0.0	0.0	-15.3846	-100.0
0.0	0.0	0.0	-100.0
-54.386	0.0	2.0	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.0	0.0	1.0
0.0	0.0	0.133333	-100.0
0.0	0.020202	2.0	-100.0
0.0	0.135135	0.0	-100.0
0.0	0.0	-35.8356	-100.0
0.0	-9.67742	0.0350877	-100.0
1.97183	3.0	-100.0	2.0
-100.0	0.0	2.0	1.0
0.0	0.0	0.0	-100.0
-100.0	0.0	0.85	-100.0
-37.931	0.0	2.0	-100.0
-98.5075	0.0	0.0	-100.0
0.0	0.0	0.0	-100.0
-100.0	0.0	0.688525	-100.0
0.0	0.0	2.0	-100.0
-16.9492	0.0	0.0	-100.0
-100.0	-100.0	2.0	-97.6782
0.0	0.0	1.03704	-100.0
-98.5714	0.0	2.0	-100.0
-1.88679	0.0	0.0	-100.0
0.0	1.0	2.0	-100.0
0.0	0.0	0.0	-100.0
0.0	0.264368	0.0645161	-100.0
0.0	0.0	0.0	-100.0
-100.0	0.0	0.895522	-0.553846
-100.0	0.0	2.0	-83.1667
0.0	0.0	0.0	-100.0
0.0	0.0	0.5	-100.0
-100.0	0.0	2.0	-16.4568
-62.5	0.268817	0.0	-100.0
0.0	0.0	1.75342	-100.0
-100.0	0.0166667	2.0	-100.0
-100.0	0.0	0.605263	-52.7792
0.0	0.0	0.642857	-100.0
-100.0	0.0	0.0	-20.8833
0.0	0.0	1.84615	-100.0
0.0	0.0	0.0	-100.0
0.0	0.64	0.0	-100.0
-100.0	0.0	0.806452	1.0
0.0	0.0	2.0	-100.0
-100.0	0.0	0.0	-0.90566
0.0	0.0	1.96078	-100.0
-98.5714	0.0	2.0	-100.0
0.0	0.988095	1.96226	-100.0
0.0	0.0	1.35849	-100.0
-100.0	0.0	0.0	1.0
-100.0	-100.0	0.0	-90.9821
0.0	0.0	1.32203	-100.0
-15.0943	0.0	0.0	-100.0
0.0	0.981132	0.0	-100.0
0.0	0.0	0.0	-100.0
-100.0	0.0	1.9375	1.0
-100.0	0.0	2.0	-0.422535
-100.0	0.0	0.0	-46.1333
-100.0	0.0	0.0740741	1.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.192308	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	1.60714	-100.0
0.0	-95.1613	2.0	-100.0
-1.23457	0.0	0.515152	-100.0
0.0	0.0	0.0	-100.0
0.0	0.25	2.0	-100.0
0.0	0.1875	0.0	-100.0
0.0	-27.1186	0.683544	-100.0
0.0	1.0	0.0	-100.0
0.0	0.0	1.01449	-100.0
-3.84615	0.0	1.97222	-100.0
0.0	0.0	-100.0	-100.0
0.0	-65.2174	2.0	-100.0
0.0	0.0	1.59375	-100.0
-100.0	0.0	2.0	-0.578125
0.0	0.0	2.0	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	0.025974	-100.0
-100.0	0.0	2.0	-100.0
0.0	0.0	0.0	-100.0
-100.0	0.211538	2.0	-100.0
0.0	0.0	-47.1429	-100.0
0.0	0.137931	2.0	-100.0
0.0	0.0	0.860759	-100.0
0.0	0.203125	2.0	-100.0
0.0	-1.14943	2.0	-100.0
-1.36986	0.0	2.0	-100.0
-1.63934	0.0	0.0	-100.0
0.0	0.0	1.06849	-100.0
-1.69492	0.0	2.0	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.0	0.8	-0.0860215
0.0	-4.7	0.0	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.0	0.0	-100.0
-100.0	0.0	0.0	-100.0
-100.0	0.466667	0.0322581	1.0
-100.0	0.0	0.27451	-19.8413
0.0	0.0	1.97531	-100.0
-100.0	0.0	2.0	-12.0323
-100.0	0.0	0.0	-100.0
-100.0	-11.8644	2.0	1.0
-100.0	0.0	0.376471	-0.629032
0.0	0.0	-59.2593	-100.0
0.0	0.0	1.67213	-100.0
0.0	0.0	2.0	-100.0
0.0	3.0	-100.0	-100.0
0.0	0.52381	1.24138	-100.0
-100.0	0.0	2.0	-11.625
-100.0	0.0	0.0	1.0
-100.0	0.0	2.0	-23.7736
0.0	0.0	0.576923	-100.0
-100.0	0.0	2.0	1.0
-100.0	0.0	2.0	-1.97059
0.0	0.0	1.6	-100.0
-1.69492	0.0	2.0	-100.0
0.0	0.0	1.05882	-100.0
0.0	-100.0	2.0	-100.0
0.0	0.0	1.5	-100.0
0.0	0.0	0.566038	-100.0
0.0	0.0	0.415094	-100.0
-100.0	0.0	0.0	1.0
-100.0	-96.1538	1.9661	1.0
-100.0	0.0	1.2963	-2.25806
-100.0	0.0	0.140845	1.0
-100.0	0.0	0.0	1.0
-100.0	1.0	2.0	1.0
0.0	0.0	0.305085	-100.0
0.0	-28.3582	0.867925	-100.0
0.0	0.0	0.461538	-100.0
0.0	0.0	0.271845	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	2.0	-100.0
0.0	-100.0	1.52381	-100.0
0.0	0.0	1.43396	-100.0
-65.7895	0.150943	2.0	-100.0
0.0	0.134328	2.0	-100.0
-1.26582	0.0	-38.1818	-100.0
0.0	-17.3077	0.0	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.666667	-100.0
-100.0	0.0	1.25806	1.0
0.0	0.0	0.871287	-100.0
-1.08696	0.0	0.0	-100.0
0.0	0.0	2.0	-100.0
-9.25926	0.0	2.0	-100.0
-100.0	0.0	2.0	-23.9663
-100.0	0.0	2.0	1.0
0.0	0.0	1.97895	-100.0
-100.0	0.0	0.806452	1.0
-100.0	0.0	1.97938	-0.942308
0.0	0.0	-1.2549	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	1.13793	-100.0
-100.0	0.0	2.0	1.0
-100.0	0.0	0.693069	-100.0
0.0	0.0	0.0	-100.0
0.0	1.0	2.0	-100.0
-100.0	0.0	2.0	1.0
-100.0	1.0	0.0	-13.2588
0.0	0.0	1.93333	-100.0
0.0	0.0	0.730769	-100.0
0.0	0.236842	0.0	-100.0
-100.0	0.0	0.0	1.0
0.0	0.0	0.0	-100.0
0.0	-50.7246	0.0	-100.0
-100.0	0.0	2.0	-100.0
-100.0	0.0	0.645161	1.0
-100.0	0.0	2.0	-12.2895
0.0	0.0	2.0	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.0	0.0	-18.5114
0.0	0.0	2.0	-100.0
-68.9655	0.0	1.96774	-100.0
-5.76923	0.0	0.0	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	0.0	-100.0
-100.0	0.0	1.01818	1.0
-100.0	0.0	0.0	1.0
-100.0	0.0	1.35593	1.0
0.0	0.0	0.0	-100.0
0.0	0.0	0.4375	-100.0
0.0	0.730159	1.93103	-100.0
-100.0	0.010101	2.0	-6.31884
-1.72414	0.0	0.0740741	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	0.0	-100.0
-100.0	0.0420168	0.525424	1.0
0.0	0.0	1.39286	-100.0
0.0	0.0	1.78947	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.0	1.44615	-100.0
0.0	0.0	0.888889	-100.0
0.0	0.375	2.0	-100.0
-100.0	0.22807	0.0	-16.1509
0.0	0.0	1.96154	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.0	0.0	1.0
0.0	0.0163934	0.509804	-100.0
0.0	0.0	2.0	-100.0
-46.2687	0.0	1.96825	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	1.96078	-100.0
0.0	0.0	2.0	-100.0
-1.51515	0.0	2.0	-100.0
-100.0	0.0	0.0	1.0
0.0	0.0	2.0	-100.0
-100.0	0.0	1.47692	-18.8939
0.0	0.0	1.98	-100.0
-100.0	0.0	1.2987	1.0
-100.0	0.0	-96.9231	1.0
-100.0	0.0	0.0	1.0
0.0	0.0	1.17895	-100.0
