newgeorgia	malaita	makira	bukida	newgeorgia	malaita	makira	bukida
0.00185562	0.00116396	0.00107365	0.00183056	114	102	55	225
0.00149127	0.00133818	0.00109281	0.00175202	25	91	129	444
0.00140036	0.0012815	0.00111872	0.00162174	115	86	99	200
0.00134039	0.000686559	0.00137068	0.00167382	45	71	210	258
0.000994184	0.000946859	0.000654217	0.00104677	297	51	161	107
0.00152488	0.00107946	0.000826609	0.00161943	141	73	92	219
0.00160005	0.001009	0.000878604	0.00176139	182	33	68	197
0.00128313	0.00128599	0.000879054	0.00135023	133	105	64	215
0.00162499	0.00143757	0.00102851	0.00157343	71	199	65	42
0.00080039	0.000591273	0.000511985	0.000791291	236	56	45	136
0.0018116	0.00164355	0.00113052	0.00199151	78	190	59	94
0.00165035	0.00129037	0.000481332	0.00152482	145	84	18	303
0.0017408	0.000992798	0.00100601	0.00172397	258	81	91	301
0.00176491	0.00178717	0.000445965	0.00191923	97	145	73	126
0.00176111	0.000633638	0.0011835	0.00189623	299	44	166	183
0.00160814	0.000339312	0.000538507	0.00175342	268	141	126	124
0.000579973	0.000613157	0.000588675	0.000794721	124	51	146	141
0.00109977	0.0010084	0.000718674	0.00164465	119	165	61	223
0.00125803	0.00147132	0.000582553	0.00157062	86	176	82	110
0.00154074	0.000553483	0.00112941	0.00157133	163	46	61	242
0.00113487	0.000872136	0.000426211	0.00133043	254	25	32	122
0.00148453	0.000480858	0.000507183	0.00130487	281	35	38	189
0.00105839	0.00121481	0.000194471	0.00143007	97	172	77	248
0.00164198	0.00153855	0.00105003	0.00176266	103	38	120	206
0.00144296	0.00116709	0.000964723	0.00156655	207	78	33	87
0.00129812	0.00142537	0.00089869	0.00162755	103	106	175	196
0.00158	0.00130525	0.00137027	0.00155558	110	197	130	106
0.0014691	0.00115861	0.000513121	0.00147137	219	124	99	92
0.00158788	0.000323464	0.00119929	0.00165378	108	32	127	273
0.00116712	0.000979681	0.000389735	0.0012316	88	75	48	108
0.00159472	0.00126327	0.000856697	0.00162152	213	60	131	205
0.00153429	0.00127804	0.00109383	0.00152732	198	139	73	187
0.00106842	0.00100431	0.000456965	0.00130506	79	93	57	270
0.00127105	0.00143128	0.00141733	0.0016739	78	70	50	121
0.00152651	0.000570116	0.000439521	0.0016965	306	19	53	197
0.00147142	0.00113909	0.00134695	0.00177912	80	46	136	376
