newgeorgia	malaita	makira	bukida	newgeorgia	malaita	makira	bukida
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	0.00044	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.000573963	0.000199211	0.000121739	0.000297104	56	47	33	297
0.0014248	0.000595517	0.000462646	0.000998505	141	44	56	201
0.000434122	0.000348784	0.000390978	0.000522552	79	37	56	173
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.000784825	0.000901986	0.000383742	0.000948622	168	138	85	115
0.00100513	0.000474077	0.000514432	0.000984077	112	35	32	255
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.0010926	0.0010447	0.000752057	0.00148336	122	139	57	247
0.00152374	0.000747505	0.00053281	0.00164142	209	29	54	184
-1.0	-1.0	-1.0	4.0e-05	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.00163659	0.00108347	0.000233062	0.00130515	352	63	128	200
0.00179662	0.00128623	0.000730018	0.00122501	383	51	37	216
0.00139074	0.00124023	0.000871782	0.00155896	173	101	84	309
0.00120996	0.000541091	0.000457238	0.00155054	182	72	19	104
0.00141893	0.00174912	0.000988809	0.0015206	215	107	108	157
0.0013377	0.00140719	0.000893531	0.00141177	142	96	85	126
0.00100701	0.000838734	0.000487091	0.00115503	102	73	29	175
0.00157756	0.000948927	0.000719861	0.00155383	227	154	82	183
0.000987934	0.000907577	0.00112746	0.00169807	170	70	85	261
0.0015354	0.00110578	0.000113046	0.00156632	85	135	22	224
0.00117988	0.00109793	0.000938232	0.00128753	131	62	91	136
0.00082597	0.000749524	0.000742036	0.000913143	145	102	108	146
0.00161254	0.00147117	0.00121834	0.00172722	76	104	117	220
0.00150447	0.000772432	0.000364273	0.00146184	260	43	132	348
0.0013939	0.000636592	0.000764373	0.00167575	119	23	48	311
0.00131965	0.000846933	0.00092128	0.00147603	208	39	139	155
0.000198444	-1.0	-1.0	0.000277754	27	-1	-1	47
0.000281042	0.000196012	0.000142952	0.000378395	68	29	32	89
0.000506907	-1.0	-1.0	0.000772639	1	-1	-1	8
0.000158787	2.47047e-05	-1.0	0.000109328	44	8	-1	36
0.000517681	0.000117189	0.000112181	0.000236662	86	27	25	72
0.000895506	0.000555426	0.000466212	0.00127008	74	60	77	178
0.000458689	0.000557929	0.000374609	0.000576948	23	112	40	139
0.000103652	-1.0	-1.0	6.01448e-05	16	-1	-1	16
0.00154917	0.00100503	0.000803275	0.00161869	202	122	104	118
0.00161374	0.00133373	0.000578754	0.00152174	328	108	83	242
0.0011476	0.000580696	0.00029293	0.00105297	132	102	35	122
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.00146462	0.000640273	0.00101742	0.00149968	256	86	113	346
0.00130879	0.00073418	0.000851221	0.00113819	263	31	109	120
0.000830378	0.00024031	0.000289343	0.00137459	54	58	79	307
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.000781856	0.000568748	0.000644038	0.00086261	135	73	116	185
0.000420154	0.000266316	0.000259883	0.000769793	100	56	42	100
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.00126093	0.00122919	0.000603098	0.0013463	185	126	37	220
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.0010425	0.000372556	0.000311894	0.00086971	104	17	81	200
0.00128544	0.000959673	0.000996385	0.00152945	105	93	79	254
0.00151322	0.00132496	0.00108539	0.00158479	169	131	151	142
0.00182195	0.00127721	0.000969652	0.00179419	337	158	40	330
0.00119724	0.000958129	0.00036828	0.00184674	180	131	25	332
0.00119238	0.000814002	0.000607356	0.00150334	111	102	81	142
0.00144497	0.00111741	0.000948686	0.00163864	105	157	70	97
0.000672519	0.000531449	0.00028949	0.00101059	99	83	34	138
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.00157255	0.000788176	0.000848932	0.00146328	153	36	92	207
0.00146291	0.000702321	0.000555664	0.00131264	120	106	89	168
0.00110355	0.000400807	0.000383918	0.000789034	250	58	47	169
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.00108213	0.00116937	0.000639708	0.0010922	250	225	54	224
3.0e-05	-1.0	-1.0	0.0	-1	-1	-1	-1
0.00144984	0.00137902	0.00102496	0.00150693	233	134	117	313
0.00107977	0.00051092	0.00042429	0.00134733	108	56	69	156
0.000788185	0.000749216	0.000608555	0.000981563	161	72	47	143
0.00148267	0.00165368	0.00121281	0.00172276	184	49	77	216
0.00148952	0.00142983	0.00132839	0.00184522	280	51	229	256
-1.0	-1.0	-1.0	0.0	-1	-1	-1	-1
0.000224452	0.000135289	0.000120887	0.00041032	58	42	39	99
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.000355473	5.70093e-05	0.0	8.56648e-05	54	11	-1	36
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.000952988	0.0011628	0.000607595	0.00146384	177	90	86	110
0.00142271	0.00119987	0.000842555	0.00142484	144	65	67	194
0.0013694	0.00116098	0.000757217	0.00153814	188	38	88	307
0.000182997	4.49333e-05	0.0	0.000141739	67	20	-1	40
0.00152634	0.000653153	0.000623422	0.00128431	88	79	103	105
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.00136792	0.000781584	0.000911439	0.0015724	226	67	122	121
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.00108621	0.000776945	0.000418056	0.00141074	118	61	64	178
0.000713449	0.000128257	8.14611e-05	0.000541937	315	15	18	56
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.000529495	-1.0	-1.0	0.000417065	180	-1	-1	23
0.00178427	0.00142636	0.000929061	0.0018284	135	138	14	124
0.000293057	0.000308746	0.000314565	0.000347856	69	32	55	87
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.000839407	0.000719952	0.000397015	0.00109826	148	31	54	91
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.000327452	0.000283793	0.000273002	0.000536753	78	26	44	150
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.00146087	0.0010996	0.000766333	0.00150674	184	89	43	116
0.00192048	0.00119727	0.00114944	0.00188558	240	64	127	195
0.00159796	0.00078631	0.000410479	0.00136105	138	35	85	194
0.000986691	0.00022396	0.000188743	0.000967501	89	64	32	132
0.00125984	0.00090337	0.000441236	0.00149248	133	43	61	116
0.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.00156572	0.001469	0.00063399	0.00184495	187	174	62	386
0.00056101	0.000198711	5.8067e-05	0.000543559	61	74	22	139
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.00151451	0.00141609	0.00123713	0.00168482	111	55	60	314
0.00182934	0.00114772	0.00111915	0.00160598	338	66	133	208
0.00122438	0.000723548	0.000610174	0.00125588	174	84	29	165
0.00159156	0.00111772	0.000407325	0.00158884	195	60	24	165
0.0011693	0.00108507	0.000439691	0.00156036	211	91	94	86
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.000925693	0.000580975	0.000494448	0.000865314	325	63	47	215
0.00170727	0.00129199	0.00103827	0.00166392	212	56	73	195
-1.0	-1.0	-1.0	0.0	-1	-1	-1	-1
0.00113654	0.000719758	0.000788264	0.00124726	164	123	102	290
0.000703929	0.00105717	0.000463447	0.00107044	97	134	42	190
0.00120957	0.000756838	0.000814382	0.0011963	300	47	89	141
0.0012586	0.000988427	0.000710438	0.00165467	186	210	87	307
0.00130958	0.000709811	0.000669482	0.00131645	194	68	69	126
0.000193951	0.000122902	8.62493e-05	0.000295239	59	35	31	270
0.000679706	0.000709915	0.000627409	0.000952754	122	99	64	139
0.0010037	0.000892497	0.000449152	0.00111496	75	101	197	95
0.00137336	0.00154236	0.00141428	0.00147014	119	143	134	112
0.000817726	0.000701212	0.000511681	0.00106878	103	34	112	289
0.000776211	0.000581947	0.000193683	0.00132985	83	129	65	336
0.00138135	0.000840308	0.000694562	0.00115112	341	74	38	137
0.00162221	0.000898296	0.000590039	0.00173378	106	80	47	168
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.00105507	0.000724308	0.000787445	0.00106601	93	109	37	121
0.000881214	0.000542671	0.000604189	0.00087416	236	88	107	136
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.00153093	0.00129726	0.000824614	0.00180708	140	126	66	203
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.000903259	0.000745341	0.00061778	0.00096352	260	81	33	88
0.000375123	0.000302527	0.000248546	0.000382756	92	60	44	125
0.00143762	0.00142939	0.000553676	0.00146723	267	155	51	134
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.00156837	0.000691298	0.000711583	0.00166083	161	69	105	264
0.0010678	0.000768235	0.000501099	0.00133727	234	27	36	310
0.00140596	0.000977961	0.000905944	0.00167266	151	55	44	212
0.00130109	0.000608271	0.000244968	0.00157593	340	127	36	136
0.00129561	0.00106862	0.000499931	0.00146637	173	92	69	297
0.00158322	0.000979065	0.000763019	0.00131892	125	89	89	173
0.00031763	0.000231087	0.000237823	0.000328992	75	67	52	67
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.000597338	0.000861737	0.000233665	0.0011728	90	148	36	258
0.00162638	0.000720754	0.000823428	0.00180346	182	77	101	239
0.00105136	0.00045225	0.000321113	0.00120184	101	135	48	127
0.00123726	0.00110272	0.000958184	0.00157024	132	123	43	171
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.00128342	0.00129014	0.000825963	0.00143579	294	71	204	48
0.00121385	0.00128589	0.00116464	0.00134221	96	103	93	224
0.000488002	0.000483761	0.000262684	0.000585612	141	50	58	125
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.000106975	6.27941e-05	-1.0	0.000147185	33	22	-1	52
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.00137674	0.00121598	0.000732515	0.00164417	172	167	57	246
0.000904283	0.000725221	0.000604841	0.000922415	133	106	120	91
0.000665968	0.000537553	0.000540598	0.000698187	98	113	112	130
0.00134545	0.000827487	0.000866235	0.00137153	249	44	46	228
0.00165013	0.000933435	0.000783043	0.00176231	182	40	54	151
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.00172439	0.00151845	0.000663091	0.00175348	264	143	38	230
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.000467003	0.000525454	0.000202429	0.000637542	83	83	20	116
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.00110283	0.00144595	0.00100995	0.00133897	105	124	23	431
0.00156385	0.00113488	0.00132887	0.00162417	95	69	111	114
0.00117512	0.000948302	0.000659733	0.00133833	101	31	57	256
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.000447443	0.000318704	0.000387291	0.000471153	108	79	72	133
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.00102134	0.00111581	0.00085702	0.00107193	115	70	59	130
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.00166765	0.000715728	0.000376955	0.00173965	160	44	21	84
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.00166884	0.00110015	0.00090266	0.00142286	264	73	54	268
0.00174217	0.00110598	0.00044923	0.00157189	221	73	91	152
0.0014536	0.00129997	0.000875926	0.00156866	98	94	102	211
0.00167374	0.00138789	0.00123382	0.00171492	226	126	68	145
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.00165887	0.00119911	0.00104173	0.00142999	213	48	135	155
0.00144425	0.00137541	0.000410051	0.00161569	139	139	108	178
0.000302145	7.1322e-05	5.64061e-05	0.000233673	40	22	21	48
0.00170836	0.00136987	0.000785816	0.00180485	170	225	37	221
0.00158185	0.00129402	0.00122762	0.00171339	234	82	157	149
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.0015644	0.00151571	0.000829813	0.00193444	193	116	68	238
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.000993496	0.000680575	0.000280669	0.00084396	207	102	46	127
0.000701296	0.000651097	0.000122627	0.00106643	102	67	37	182
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
0.00152583	0.00116385	0.00109144	0.00198638	99	44	126	289
