newgeorgia	malaita	makira	bukida	newgeorgia	malaita	makira	bukida
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
