newgeorgia	malaita	makira	bukida
-100.0	0.0	2.0	-100.0
0.0	0.0	-46.6195	-100.0
0.0	0.0	0.0	-100.0
-2.8169	0.0869565	0.0224719	-100.0
0.0	0.0	1.05085	-100.0
-100.0	0.0	0.0377358	-0.463768
0.0	-100.0	0.0	0.210526
-14.1026	0.0	0.0	-100.0
-11.1111	0.0	2.0	-100.0
0.0	0.0	0.0	-100.0
0.0	-98.4615	0.0	-100.0
0.0	0.0147059	0.0	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.333333	0.0	-0.980392
-71.2644	0.0	0.610169	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.0	-100.0
-100.0	0.0	2.0	1.0
-100.0	0.0	0.0	-28.0548
-100.0	0.0	0.0	-98.0943
0.0	-1.33333	2.0	-100.0
0.0	0.0175439	1.625	-100.0
-3.92157	0.986301	0.535714	-100.0
0.0	0.0	0.0	-100.0
-2.46914	0.610526	0.0	-100.0
-1.36986	0.0	2.0	-100.0
-100.0	0.0	0.0	1.0
-100.0	0.0	-24.7727	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.0	0.0	-100.0
0.0	0.0	0.0	-100.0
-100.0	0.0	-24.0741	-1.49383
-100.0	0.0	2.0	1.0
-100.0	0.0	2.0	-100.0
-100.0	0.0	2.0	-100.0
-100.0	0.0	0.0	-100.0
0.0	0.954545	0.0	-100.0
-1.47059	0.394958	2.0	-100.0
0.0	0.0	1.24138	-100.0
-100.0	0.0	0.0	1.0
0.0	0.0	0.0	-100.0
0.0	0.0	0.0	-100.0
-100.0	1.0	2.0	-21.2542
0.0	0.0	0.372881	-100.0
-100.0	0.0	-6.0	-0.803571
0.0	0.236111	2.0	-100.0
0.0	0.0	0.0740741	-100.0
0.0	0.0	0.0	-100.0
-100.0	0.0	1.9759	-18.4699
-100.0	0.0	2.0	1.0
-100.0	0.736111	2.0	-100.0
0.0	0.747475	0.0	-100.0
-100.0	0.0	2.0	-18.5484
-100.0	0.0	1.7	0.204724
-100.0	0.901961	2.0	1.0
-1.69492	0.0	2.0	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.0	2.0	-100.0
-100.0	-45.7917	0.0	-100.0
0.0	0.0	0.633333	-100.0
0.0	0.55814	-25.3968	-100.0
-100.0	-53.7313	1.23529	1.0
-100.0	0.0	1.96364	1.0
0.0	0.745098	0.0	-100.0
-5.35714	0.0	0.0	-100.0
-100.0	0.0	0.0289855	-95.3385
0.0	0.0	2.0	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.0	-100.0
-1.72414	0.0	2.0	-100.0
-100.0	-1.35135	0.725	-100.0
-100.0	0.0	0.949153	-0.383562
-100.0	0.246377	2.0	-100.0
0.0	0.0	0.952381	-100.0
-100.0	0.0	0.0	-14.4068
0.0	0.0	2.0	-100.0
-100.0	0.0	0.0	-2.88462
0.0	0.0	0.116279	-100.0
-100.0	-71.6216	1.97297	-28.1017
-100.0	-47.8261	2.0	-100.0
-100.0	0.758621	1.96364	-7.41667
0.0	0.0	2.0	-100.0
0.0	0.0	1.64706	-100.0
-100.0	0.0	2.0	-0.294872
-1.17647	1.0	2.0	-100.0
-100.0	0.0	0.0655738	1.0
0.0	0.0	0.0	-100.0
-100.0	0.0	0.615385	1.0
0.0	0.0	2.0	-100.0
0.0	0.0	1.96552	-100.0
0.0	0.0	2.0	-100.0
-28.0702	0.0	2.0	-100.0
-100.0	-18.8679	0.97619	-100.0
0.0253165	0.0	-67.1525	-100.0
-98.9899	0.0	2.0	-100.0
-100.0	-98.4375	2.0	-1.32184
-39.726	3.0	-100.0	-0.873239
-100.0	0.0	0.705882	1.0
0.0	0.0	2.0	-100.0
-14.8148	-43.1818	1.19149	-100.0
-100.0	0.0	0.275862	-0.0860215
0.0	0.0	2.0	-100.0
-100.0	0.0	2.0	-19.2
-1.69492	0.0	0.117647	-100.0
0.0	0.0561798	2.0	-100.0
0.0	0.0	1.28358	-100.0
0.0	0.0508475	0.0	-100.0
0.0	3.0	-100.0	-100.0
0.0	0.704545	1.9697	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.47619	-100.0
0.0	1.67532	0.0	-100.0
0.0	0.0	1.96226	-100.0
-72.8571	0.0	0.0	-100.0
-100.0	0.0	0.0	1.0
-100.0	0.0	0.0	-98.9798
0.0	0.0	2.0	-100.0
-100.0	0.243478	1.11688	-100.0
0.0	0.0	1.44118	-100.0
0.0	0.0	-100.0	-100.0
0.0	0.0	0.964286	-100.0
0.0	0.0	1.20482	-100.0
-3.38983	0.0192308	2.0	-100.0
0.0	0.00980392	2.0	-100.0
0.0	0.0	2.0	-100.0
-7.79221	-66.6667	2.0	-100.0
-100.0	0.0	0.0	-100.0
0.0	0.0181818	2.0	-100.0
0.0	0.0	1.93939	-100.0
0.0	0.0	0.196078	-100.0
0.0	-12.5	2.0	-100.0
-100.0	0.303571	2.0	1.0
0.0	0.0	2.0	-100.0
-100.0	0.45283	0.0	1.0
0.0	0.0566038	0.0	-100.0
-100.0	0.0	0.779661	1.0
0.0	-100.0	1.85714	-1.4
0.0	0.0	0.725275	-100.0
0.0	0.0	0.980392	-100.0
-100.0	0.0	0.0	-0.216867
-100.0	0.0	0.0	1.0
0.0	0.0	-27.6316	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.0	2.0	1.0
0.0	-34.2466	2.0	-100.0
-100.0	0.0	1.96154	-100.0
-100.0	0.0	0.0	-98.8256
-100.0	0.0	2.0	-100.0
0.0	0.0	1.42373	-100.0
0.0	0.192308	0.866667	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	2.0	-100.0
-1.69492	1.0	2.0	-100.0
0.0	-1.91765	1.93333	-100.0
0.0	0.0	0.0	-100.0
-100.0	0.0	0.836364	1.0
0.0	0.0	0.0	-100.0
0.0	0.0	1.56667	-100.0
0.0	-4.47761	1.19298	-100.0
-100.0	0.0	0.216216	-100.0
-1.51515	0.0	2.0	-100.0
-100.0	0.0	1.17143	1.0
-1.2987	0.0	0.745763	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	2.0	-100.0
-100.0	0.0	0.888889	1.0
-1.51515	0.0	0.0	-100.0
0.0	0.0	0.0377358	-100.0
0.0	0.015873	0.0350877	-100.0
-100.0	0.0106383	2.0	-100.0
0.0	-88.75	0.0	-100.0
-100.0	0.0	2.0	-2.15625
-100.0	0.0	2.0	1.0
0.0	0.935897	0.0	-100.0
-100.0	0.0	2.0	-0.836364
0.0	0.0	0.0	-100.0
-1.5625	0.0	1.46429	-100.0
0.0	0.0	2.0	-100.0
0.0	-27.1605	0.0377358	-100.0
-67.7419	0.283333	-1.94643	-100.0
-100.0	0.0	1.97101	-0.422535
-100.0	0.97619	2.0	-92.3978
-100.0	0.0	1.29825	-19.5741
0.0	0.0	0.0	-100.0
-100.0	-27.4414	0.941176	1.0
-100.0	0.0	0.0	-0.311688
0.0	-63.2184	2.0	-100.0
0.0	0.0	0.777778	-100.0
0.0	0.0	0.444444	-100.0
-100.0	-98.7179	2.0	-100.0
0.0	0.0	2.0	-100.0
0.0363636	0.0	1.97015	-100.0
0.0	0.0	0.0350877	-100.0
-100.0	0.0	2.0	-0.90566
0.0	0.0	0.0	-100.0
0.0	0.0	2.0	-100.0
-5.35714	0.0	0.0333333	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.0	-100.0
0.0	0.0	1.52778	-100.0
0.0	0.987179	2.0	-100.0
-100.0	0.0	2.0	-0.507463
-100.0	0.0	2.0	-17.0896
-100.0	0.0	0.666667	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	2.0	-100.0
-7.29167	-9.44828	1.63636	-100.0
0.0	0.0	2.0	-100.0
0.0	0.0	0.3	-100.0
-1.75439	0.0	0.0	-100.0
