,"(((B,N),L),K)","(((B,N),K),L)","(B,N),(L,K)","(((B,L),N),K)","(((B,L),K),N)","(B,L),(N,K)","(((B,K),N),L)","(((B,K),L),N)","(B,K),(N,L)","(((N,L),B),K)","(((N,L),K),B)","(((N,K),B),L)","(((N,K),L),B)","(((L,K),B),N)","(((L,K),N),B)",Non-monophyletic,Poor-resolution,name,disp,ne,time,int
archsim_m60_n200000_e400000_i50000_mak,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,1,1,archsim_m60_n200000_e400000_i50000_mak,60,200000,400000,50000
archsim_m0.0001_n50000_e800000_i400000_mak,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,archsim_m0.0001_n50000_e800000_i400000_mak,00001,50000,800000,400000
archsim_m80_n100000_e3200000_i50000_mak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,archsim_m80_n100000_e3200000_i50000_mak,80,100000,3200000,50000
archsim_m80_n200000_e400000_i400000_mak,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,3,0,archsim_m80_n200000_e400000_i400000_mak,80,200000,400000,400000
archsim_m80_n200000_e1600000_i100000_mak,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,2,1,archsim_m80_n200000_e1600000_i100000_mak,80,200000,1600000,100000
archsim_m80_n100000_e400000_i400000_mak,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,1,7,archsim_m80_n100000_e400000_i400000_mak,80,100000,400000,400000
archsim_m10_n50000_e200000_i100000_mak,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,archsim_m10_n50000_e200000_i100000_mak,10,50000,200000,100000
archsim_m40_n100000_e200000_i100000_mak,1,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,archsim_m40_n100000_e200000_i100000_mak,40,100000,200000,100000
archsim_m50_n100000_e3200000_i400000_mak,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,46,archsim_m50_n100000_e3200000_i400000_mak,50,100000,3200000,400000
archsim_m100_n200000_e800000_i25000_mak,40,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,archsim_m100_n200000_e800000_i25000_mak,100,200000,800000,25000
archsim_m40_n200000_e200000_i200000_mak,8,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,4,archsim_m40_n200000_e200000_i200000_mak,40,200000,200000,200000
archsim_m40_n50000_e1600000_i200000_mak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,48,archsim_m40_n50000_e1600000_i200000_mak,40,50000,1600000,200000
